food_closest_travel_times,physical_closest_dist,transport_closest_dist,education_closest_travel_times,worship_closest_travel_times,GEOID
0.0,0.00026736545,7.3605037,0.0,0.0,48201250301
0.0,0.00026736545,7.3605037,0.0,0.0,48201250302
0.0,0.00026736545,7.3605037,0.0,0.0,48201250401
0.0,0.00026736545,7.3605037,0.0,0.0,48201250402
0.0,0.00026736545,7.3605037,0.0,0.0,48201250500
0.0,0.00026736545,7.3605037,0.0,0.0,48201250600
0.0,0.00026736545,7.3605037,0.0,0.0,48201250701
0.0,0.00026736545,7.3605037,0.0,0.0,48201250702
0.0,0.00026736545,7.3605037,0.0,0.0,48201250800
0.0,0.00026736545,7.3605037,0.0,0.0,48201250900
0.0,0.00026736545,7.3605037,0.0,0.0,48201251000
0.0,0.00026736545,7.3605037,0.0,0.0,48201251100
0.0,0.00026736545,7.3605037,0.0,0.0,48201251200
0.0,0.00026736545,7.3605037,0.0,0.0,48201251300
0.0,0.00026736545,7.3605037,0.0,0.0,48201251401
0.0,0.00026736545,7.3605037,0.0,0.0,48201251402
0.0,0.00026736545,7.3605037,0.0,0.0,48201251501
0.0,0.00026736545,7.3605037,0.0,0.0,48201251502
0.0,0.00026736545,7.3605037,0.0,0.0,48201251503
0.0,0.00026736545,7.3605037,0.0,0.0,48201251600
0.0,0.00026736545,7.3605037,0.0,0.0,48201251700
798.7,0.00032238406,3.2214212,228.5,221.5,48201251800
796.1,0.82976735,2.703751,225.9,218.9,48201251901
794.6,2.6525295,6.4815283,337.0,248.2,48201251902
796.1,0.82976735,2.703751,225.9,218.9,48201252000
794.6,2.6525295,6.4815283,337.0,248.2,48201252100
794.6,2.6525295,6.4815283,337.0,248.2,48201252200
860.8,0.00023087802,10.311053,59.7,95.8,48201252301
860.8,0.00023087802,10.311053,59.7,95.8,48201252302
804.3,0.8042858,9.836392,97.4,34.5,48201252400
735.8,1.626616,9.7548,144.4,50.1,48201252500
860.8,0.00023087802,10.311053,59.7,95.8,48201252600
794.6,2.6525295,6.4815283,337.0,248.2,48201252700
860.8,0.00023087802,10.311053,59.7,95.8,48201252800
860.8,0.00023087802,10.311053,59.7,95.8,48201252900
860.8,0.00023087802,10.311053,59.7,95.8,48201253000
860.8,0.00023087802,10.311053,59.7,95.8,48201253100
860.8,0.00023087802,10.311053,59.7,95.8,48201253200
946.6,0.00022896433,10.317722,0.0,268.1,48201253300
946.6,0.00022896433,10.317722,0.0,268.1,48201253400
768.3,1.4657456,9.775748,124.8,16.0,48201253500
946.6,0.00022896433,10.317722,0.0,268.1,48201253600
946.6,0.00022896433,10.317722,0.0,268.1,48201253700
946.6,0.00022896433,10.317722,0.0,268.1,48201253800
135.7,0.3672306,16.551884,211.0,195.2,48201253900
127.0,0.2803946,17.177448,162.0,134.9,48201254000
135.7,0.3672306,16.551884,211.0,195.2,48201254100
135.7,0.3672306,16.551884,211.0,195.2,48201254200
135.9,0.55890036,15.969155,198.9,286.6,48201254300
135.7,0.3672306,16.551884,211.0,195.2,48201254400
135.9,0.55890036,15.969155,198.9,286.6,48201254500
135.9,0.55890036,15.969155,198.9,286.6,48201254600
134.6,0.20093417,17.266912,138.3,111.2,48201254700
142.1,0.22441986,0.7489958,4.7,54.2,48201310100
57.6,0.5940297,0.71357876,70.6,14.0,48201310200
55.1,0.30246922,0.8986857,23.8,54.8,48201310300
164.4,0.13233235,0.80407995,0.0,51.3,48201310400
178.7,0.14334813,0.673624,62.3,93.2,48201310500
117.7,0.08006957,1.0463771,30.8,21.0,48201310600
39.4,0.29080325,1.3898776,73.7,48.4,48201310700
0.0,0.20945518,0.8310443,16.0,63.0,48201310800
40.8,0.786596,0.2076521,48.1,20.0,48201310900
121.9,0.26919082,1.1283853,48.1,77.5,48201311000
137.6,0.4017224,1.490355,35.3,13.3,48201311100
30.7,0.6519943,1.6153927,93.1,13.3,48201311200
76.1,0.43845457,1.4415061,55.7,19.9,48201311300
171.0,0.00020568595,3.1406822,9.4,35.8,48201311400
159.6,0.34230077,2.7246451,34.9,20.8,48201311500
79.6,0.00023137042,2.211033,49.8,109.7,48201311600
117.6,0.6098439,0.798974,54.0,34.8,48201311700
72.8,0.7539181,0.93393016,116.2,81.5,48201311800
67.9,0.00011793886,0.20270923,60.0,44.1,48201311900
137.9,0.25722313,0.35308656,54.9,22.0,48201312000
141.1,0.00017278346,0.00017278346,72.9,62.3,48201312100
66.5,0.48884842,0.3728804,59.3,16.8,48201312200
141.3,0.12398895,1.1115618,35.7,15.2,48201312300
170.7,0.16055204,1.0678124,32.0,12.3,48201312400
66.9,0.07913532,0.5199727,44.6,36.4,48201312500
152.2,0.2562982,0.70959765,28.1,42.2,48201312600
164.4,0.3470252,0.62567526,52.2,19.3,48201312700
170.0,0.46767214,0.5453118,16.8,26.0,48201312800
134.8,0.6281817,1.1840215,17.5,17.5,48201312900
87.9,0.2747338,1.1125542,34.2,28.3,48201313000
243.9,0.00029683355,0.00029683355,108.9,114.5,48201313100
45.9,0.32613575,0.38116264,48.4,36.5,48201313200
