POPULATION,LATITUDE,LONGITUDE,CountyFIPS,TractFIPS
4939,+40.636253,-073.995473,36047,36047022000
3609,+40.676305,-073.954330,36047,36047022100
4693,+40.638129,-073.992910,36047,36047022200
5486,+40.640399,-073.990254,36047,36047022400
2516,+40.642401,-073.987327,36047,36047022600
3454,+40.681533,-073.957029,36047,36047022700
3306,+40.639393,-073.981121,36047,36047022800
3395,+40.685153,-073.956750,36047,36047022900
4515,+40.637818,-073.984240,36047,36047023000
3025,+40.686057,-073.960944,36047,36047023100
5699,+40.636223,-073.986408,36047,36047023200
5061,+40.689233,-073.957870,36047,36047023300
5059,+40.634012,-073.988222,36047,36047023400
3928,+40.692550,-073.957810,36047,36047023500
5600,+40.632237,-073.989993,36047,36047023600
4590,+40.630501,-073.991344,36047,36047023800
4693,+40.628680,-073.992873,36047,36047024000
2229,+40.691838,-073.954246,36047,36047024100
2984,+40.626073,-073.992886,36047,36047024200
3786,+40.687422,-073.952844,36047,36047024300
3238,+40.621752,-073.986135,36047,36047024400
3946,+40.682853,-073.951872,36047,36047024500
3256,+40.618295,-073.981273,36047,36047024600
2316,+40.679418,-073.949120,36047,36047024700
2698,+40.621017,-073.989546,36047,36047024800
3823,+40.683105,-073.948397,36047,36047024900
1722,+40.622674,-073.996092,36047,36047025000
3816,+40.687762,-073.949369,36047,36047025100
4786,+40.619978,-073.992386,36047,36047025200
2754,+40.693362,-073.950481,36047,36047025300
3500,+40.616875,-073.984168,36047,36047025400
5102,+40.697539,-073.951315,36047,36047025500
3058,+40.615211,-073.986052,36047,36047025600
2131,+40.698342,-073.946806,36047,36047025700
4597,+40.613396,-073.987410,36047,36047025800
2010,+40.695094,-073.945700,36047,36047025901
3419,+40.696966,-073.945154,36047,36047025902
3649,+40.616842,-073.992317,36047,36047026000
4917,+40.692381,-073.945785,36047,36047026100
2374,+40.619017,-073.997018,36047,36047026200
1868,+40.689210,-073.944873,36047,36047026300
4592,+40.614809,-073.997553,36047,36047026400
3838,+40.687060,-073.944424,36047,36047026500
3733,+40.612620,-073.990253,36047,36047026600
3920,+40.684023,-073.943983,36047,36047026700
4188,+40.610402,-073.990255,36047,36047026800
2770,+40.681151,-073.943115,36047,36047026900
2449,+40.605785,-073.989870,36047,36047027000
2471,+40.678923,-073.938730,36047,36047027100
3480,+40.608259,-073.992671,36047,36047027200
2813,+40.680976,-073.937450,36047,36047027300
3028,+40.611042,-073.995425,36047,36047027400
4180,+40.683909,-073.938332,36047,36047027500
3694,+40.611216,-073.999171,36047,36047027600
3945,+40.687012,-073.938677,36047,36047027700
3220,+40.607183,-074.000829,36047,36047027800
3674,+40.689780,-073.939266,36047,36047027900
1761,+40.602144,-074.005614,36047,36047028000
4193,+40.692876,-073.939293,36047,36047028100
2943,+40.600781,-074.004058,36047,36047028200
4097,+40.695284,-073.940315,36047,36047028300
4003,+40.605879,-073.998712,36047,36047028400
428,+40.699108,-073.940342,36047,36047028501
2802,+40.697460,-073.940804,36047,36047028502
4814,+40.599506,-074.001728,36047,36047028600
2991,+40.695227,-073.935360,36047,36047028700
3458,+40.604451,-073.996621,36047,36047028800
3538,+40.693104,-073.933069,36047,36047028900
3920,+40.603366,-073.994106,36047,36047029000
3101,+40.690206,-073.933729,36047,36047029100
2539,+40.599317,-073.998267,36047,36047029200
3106,+40.687453,-073.933001,36047,36047029300
2321,+40.596482,-073.997156,36047,36047029400
3425,+40.684548,-073.932342,36047,36047029500
5546,+40.600904,-073.993159,36047,36047029600
3344,+40.681100,-073.931364,36047,36047029700
3717,+40.600930,-073.988014,36047,36047029800
2579,+40.678056,-073.925843,36047,36047029900
4120,+40.597687,-073.989143,36047,36047030000
2750,+40.677483,-073.915010,36047,36047030100
4214,+40.595614,-073.990488,36047,36047030200
4458,+40.675132,-073.917464,36047,36047030300
4281,+40.593413,-073.993082,36047,36047030400
5549,+40.676415,-073.959384,36047,36047030500
2005,+40.590660,-073.986269,36047,36047030600
4544,+40.675362,-073.925235,36047,36047030700
1949,+40.585879,-073.984652,36047,36047030800
1754,+40.675865,-073.933270,36047,36047030900
2833,+40.676235,-073.939307,36047,36047031100
4648,+40.676349,-073.944478,36047,36047031300
